 initial abundance for selected isotopes
  876   0.00000E+00  LU175
  877   0.00000E+00  LU176
  878   0.00000E+00  LU177
  879   0.00000E+00  LU178
  880   0.00000E+00  LU179
  881   0.00000E+00  LU180
  882   0.00000E+00  LU181
  883   0.00000E+00  LU182
  884   0.00000E+00  HF166
  885   0.00000E+00  HF167
  886   0.00000E+00  HF168
  887   0.00000E+00  HF169
  888   0.00000E+00  HF170
  889   0.00000E+00  HF171
  890   0.00000E+00  HF172
  891   0.00000E+00  HF173
  892   0.00000E+00  HF174
  893   0.00000E+00  HF175
  894   0.00000E+00  HF176
  895   0.00000E+00  HF177
  896   0.00000E+00  HF178
  897   0.00000E+00  HF179
  898   0.00000E+00  HF180
  899   0.00000E+00  HF181
  900   0.00000E+00  HF182
  901   0.00000E+00  HF183
  902   0.00000E+00  HF184
  903   0.00000E+00  HF185
  904   0.00000E+00  TA169
  905   0.00000E+00  TA170
  906   0.00000E+00  TA171
  907   0.00000E+00  TA172
  908   0.00000E+00  TA173
